QID90_1,QID90_2,QID90_3,Q22_1,Q92_1,Q92_2,Q92_3,Q100_1,Q100_2,Q61,Q20,Age,Gender,Household_size,Q28,bed,empa,Q92_2r,maskePo
1,1,1,5,4,1,5,2,3,1,1,30.00,2,1.00,Gulasch,1.00,1.00,5.00,4.50
3,3,3,4,3,3,5,2,3,1,1,52.00,2,1.00,Nudeln,1.00,3.00,3.00,3.00
1,1,1,4,5,1,5,3,4,2,1,39.00,2,3.00,Nudelsalat,1.00,1.00,5.00,5.00
2,2,2,3,2,3,5,2,3,2,1,29.00,1,1.00,Nudelgratin,0.00,2.00,3.00,2.50
2,2,2,5,5,1,5,3,3,1,1,46.00,2,1.00,Salat,1.00,2.00,5.00,5.00
1,1,1,1,3,5,5,1,1,1,1,20.00,2,2.00,Ich habe nichts zum Mittag gegessen,0.00,1.00,1.00,2.00
5,4,4,5,2,1,5,2,3,2,1,31.00,1,3.00,Nudeln,2.00,4.33,5.00,3.50
1,1,1,4,4,2,5,3,3,2,1,43.00,2,1.00,Nudeln,1.00,1.00,4.00,4.00
1,1,1,4,3,2,5,4,4,1,1,40.00,1,4.00,Nudeln,1.00,1.00,4.00,3.50
5,4,4,5,5,1,5,2,3,2,1,18.00,1,5.00,Nudeln,2.00,4.33,5.00,5.00
5,5,5,5,5,1,5,4,4,2,1,29.00,2,2.00,baked oatmeal,2.00,5.00,5.00,5.00
3,3,3,2,2,3,5,3,3,2,1,33.00,2,4.00,Müsli,0.00,3.00,3.00,2.50
1,1,1,5,4,1,5,3,3,2,1,27.00,1,2.00,Pizza,1.00,1.00,5.00,4.50
5,4,4,4,4,4,5,4,3,1,1,28.00,1,5.00,Pizza,2.00,4.33,2.00,3.00
4,3,3,4,3,3,5,3,4,2,1,31.00,1,2.00,Joghurt,0.00,3.33,3.00,3.00
3,3,3,2,3,3,5,2,4,2,1,28.00,1,2.00,Nudeln,2.00,3.00,3.00,3.00
4,4,4,5,5,1,5,3,3,2,1,37.00,2,2.00,Senfeier,2.00,4.00,5.00,5.00
3,3,3,4,3,3,5,2,3,1,1,26.00,1,2.00,Pasta,1.00,3.00,3.00,3.00
1,1,2,5,5,1,5,4,4,2,1,41.00,2,5.00,Bratkartoffel und Spiegelei,0.00,1.33,5.00,5.00
1,1,2,4,4,2,5,2,3,2,1,29.00,1,1.00,Salat,1.00,1.33,4.00,4.00
4,5,4,4,3,2,5,2,3,2,1,20.00,1,4.00,Nudeln,2.00,4.33,4.00,3.50
2,2,2,3,3,4,5,3,3,1,1,57.00,2,1.00,Bratkartoffeln,1.00,2.00,2.00,2.50
1,1,1,5,5,1,5,2,3,2,1,20.00,2,2.00,Pizza,0.00,1.00,5.00,5.00
1,1,1,3,2,2,5,4,3,1,1,55.00,1,2.00,Rucolasalat,1.00,1.00,4.00,3.00
4,4,4,4,4,2,5,2,4,2,1,31.00,2,2.00,Brot,2.00,4.00,4.00,4.00
3,3,4,5,4,2,5,3,4,1,1,49.00,1,3.00,Bockwurst,0.00,3.33,4.00,4.00
5,5,5,5,5,1,5,4,3,1,1,43.00,2,3.00,Lasagne,2.00,5.00,5.00,5.00
1,1,1,4,4,3,5,2,3,2,1,29.00,1,3.00,Spagetti mit Tomatensoße,1.00,1.00,3.00,3.50
2,2,2,3,5,3,5,3,4,2,1,32.00,1,6.00,Spinat,0.00,2.00,3.00,4.00
5,5,5,5,5,1,5,3,3,1,1,67.00,2,2.00,Rinderbraten,2.00,5.00,5.00,5.00
2,1,3,4,2,1,5,2,3,1,1,65.00,1,2.00,Vegetarische Pfanne,0.00,2.00,5.00,3.50
1,3,4,2,5,1,5,2,3,2,1,25.00,2,3.00,Linsensuppe,0.00,2.67,5.00,5.00
4,4,4,3,2,3,5,3,3,2,1,29.00,1,1.00,Nudeln,2.00,4.00,3.00,2.50
4,2,2,3,5,2,5,3,4,2,1,43.00,1,2.00,Rollmops,1.00,2.67,4.00,4.50
1,1,1,2,1,4,5,1,1,1,1,30.00,1,2.00,Sub von Subway,1.00,1.00,2.00,1.50
1,1,1,4,3,1,5,4,2,1,1,56.00,1,1.00,Suppe,0.00,1.00,5.00,4.00
2,2,2,5,4,1,5,2,3,1,1,51.00,1,2.00,Knäckebrot,1.00,2.00,5.00,4.50
5,5,5,5,5,1,5,4,3,1,1,63.00,1,1.00,Bockwurst,2.00,5.00,5.00,5.00
1,2,2,2,1,4,5,2,3,2,1,21.00,2,3.00,Nichts,0.00,1.67,2.00,1.50
2,3,3,3,2,3,5,2,4,2,1,26.00,1,1.00,Schwarzbrot,1.00,2.67,3.00,2.50
2,3,2,4,4,2,5,3,3,2,1,27.00,1,1.00,Fischstäbchen,0.00,2.33,4.00,4.00
3,3,4,4,5,1,5,3,4,2,1,27.00,1,2.00,Braten,1.00,3.33,5.00,5.00
2,2,2,3,4,3,5,2,3,1,1,34.00,1,5.00,Döner,1.00,2.00,3.00,3.50
5,3,3,3,3,2,5,2,2,2,1,41.00,1,5.00,Kartoffel,2.00,3.67,4.00,3.50
4,4,4,4,5,2,5,3,3,1,1,57.00,2,2.00,Körnerbrötchen mit Brotaufstrich und Käse dazu.,2.00,4.00,4.00,4.50
3,3,3,3,5,1,5,3,3,1,1,46.00,2,2.00,Döner,0.00,3.00,5.00,5.00
3,3,3,3,2,4,5,2,3,2,1,37.00,2,2.00,nichts,2.00,3.00,2.00,2.00
1,1,1,5,5,1,5,4,3,1,1,34.00,2,3.00,Reis mit Griller,0.00,1.00,5.00,5.00
5,4,4,4,4,1,5,4,2,1,1,51.00,1,1.00,Müsli,2.00,4.33,5.00,4.50
3,3,3,4,4,1,5,3,4,1,1,26.00,2,1.00,keine Angabe,0.00,3.00,5.00,4.50
2,2,2,5,5,1,5,4,4,2,1,29.00,1,3.00,Kartoffeln,1.00,2.00,5.00,5.00
3,4,3,4,3,2,5,3,3,2,1,33.00,2,2.00,Nichts,2.00,3.33,4.00,3.50
3,4,4,4,5,2,5,4,4,2,1,22.00,2,4.00,Wraps,1.00,3.67,4.00,4.50
1,1,1,4,5,1,5,2,4,2,1,29.00,2,1.00,Pizza,1.00,1.00,5.00,5.00
1,1,1,4,4,4,5,3,3,2,1,44.00,1,1.00,Maultaschen,2.00,1.00,2.00,3.00
5,4,4,3,4,2,5,2,3,2,1,19.00,2,2.00,Milchreis,2.00,4.33,4.00,4.00
2,2,4,2,3,3,5,3,4,1,1,25.00,1,1.00,Geschnetzeltes,0.00,2.67,3.00,3.00
1,1,1,2,3,2,5,1,2,2,1,31.00,1,2.00,Müsli,1.00,1.00,4.00,3.50
3,3,3,3,2,3,5,2,3,1,1,28.00,1,4.00,Spiegelei,0.00,3.00,3.00,2.50
1,1,1,2,3,2,5,3,3,1,1,37.00,1,4.00,Nudeln,1.00,1.00,4.00,3.50
3,4,3,5,5,3,5,1,4,1,1,28.00,2,1.00,Instant Ramen Nudeln mit Curry,0.00,3.33,3.00,4.00
1,2,1,2,2,2,5,3,3,2,1,21.00,2,4.00,"salat, reis, fleisch",1.00,1.33,4.00,3.00
5,3,4,5,3,2,5,2,3,1,1,23.00,2,3.00,Döner,2.00,4.00,4.00,3.50
2,2,2,5,5,2,5,2,3,2,1,31.00,2,3.00,Brötchen,1.00,2.00,4.00,4.50
5,5,4,5,5,1,5,3,5,2,1,46.00,1,3.00,Döner,2.00,4.67,5.00,5.00
2,1,1,4,4,1,5,2,3,2,1,33.00,1,4.00,Apfel mit Joghurt und Müsli,1.00,1.33,5.00,4.50
5,4,4,5,5,1,5,2,3,2,1,20.00,1,1.00,Reis mit Fleisch,2.00,4.33,5.00,5.00
2,2,2,3,2,3,5,2,3,2,1,34.00,1,4.00,Brötchen,0.00,2.00,3.00,2.50
1,1,1,4,3,1,5,3,3,2,1,36.00,1,3.00,Nudeln,1.00,1.00,5.00,4.00
3,2,3,4,4,4,5,2,3,2,1,25.00,1,2.00,Wurst,0.00,2.67,2.00,3.00
2,2,2,1,1,4,5,1,2,2,1,30.00,2,3.00,Eis,0.00,2.00,2.00,1.50
